order,slug,name,category,biome,subject,palette_mood,design_mood,status
1,morphous-grape,Grape,fruit,vineyard,Concord grape cluster,deep violet leaf green powder bloom,lush vineyard product system,queued
2,morphous-raspberry,Raspberry,fruit,bramble patch,ripe raspberry cane,berry red cane green seed gold,tactile modular commerce system,queued
3,morphous-strawberry,Strawberry,fruit,garden bed,strawberry plant with blossoms,scarlet cream leaf green seed yellow,fresh friendly dashboard system,queued
4,morphous-parrot,Parrot,bird,tropical canopy,scarlet macaw feather profile,scarlet cobalt emerald sun yellow,expressive multilingual creator system,queued
5,morphous-dragonfly,Dragonfly,insect,wetland,blue dasher dragonfly,glass blue reed green graphite,lightweight analytical system,queued
6,morphous-monarch,Monarch Butterfly,insect,meadow,monarch butterfly wing,orange black cream milkweed green,high contrast editorial system,queued
7,morphous-luna-moth,Luna Moth,insect,night forest,luna moth wings,pale mint moon white bark charcoal,quiet nocturne interface system,queued
8,morphous-honeybee,Honeybee,insect,wildflower field,honeybee on comb,honey amber pollen gold black cream,productive operations system,queued
9,morphous-ladybug,Ladybug,insect,garden leaf,ladybug shell,vermilion black leaf green dew white,compact friendly app system,queued
10,morphous-cicada,Cicada,insect,summer woods,cicada wing and shell,translucent amber bark grey moss green,textural documentation system,queued
11,morphous-orchid,Orchid,flower,tropical greenhouse,white and magenta orchid,petal white magenta stem green shadow plum,refined luxury product system,queued
12,morphous-lavender,Lavender,flower,provence field,lavender sprigs,lavender purple sage green dry straw,calm scheduling system,queued
13,morphous-sunflower,Sunflower,flower,prairie,sunflower head,solar yellow seed brown leaf green,optimistic metric system,queued
14,morphous-lotus,Lotus,flower,still pond,pink lotus bloom,lotus pink jade green water blue mud brown,serene wellness system,queued
15,morphous-rose,Rose,flower,formal garden,deep garden rose,velvet red leaf green thorn brown,romantic editorial system,queued
16,morphous-iris,Iris,flower,riverbank,blue iris bloom,indigo violet golden throat reed green,precise content system,queued
17,morphous-cherry-blossom,Cherry Blossom,flower,spring grove,sakura branch,pale pink bark brown sky white,delicate social product system,queued
18,morphous-hydrangea,Hydrangea,flower,rain garden,blue hydrangea cluster,periwinkle blue leaf green rain grey,soft knowledge-base system,queued
19,morphous-poppy,Poppy,flower,grassland,red poppy bloom,poppy red black seed green wheat tan,bold campaign system,queued
20,morphous-cosmos,Cosmos,flower,autumn meadow,pink cosmos flowers,pink petal golden center fern green,airy community system,queued
21,morphous-fern,Fern,plant,temperate forest,unfurling fern frond,fern green moss shadow loam brown,organic navigation system,queued
22,morphous-moss,Moss,plant,rainforest floor,moss cushion,deep moss lime dew grey soil,soft tactile dashboard system,queued
23,morphous-lichen,Lichen,plant,alpine rock,lichen on stone,pale sage mineral grey rust orange,weathered knowledge system,queued
24,morphous-bamboo,Bamboo,plant,bamboo grove,bamboo culm and leaves,bamboo green straw cream ink,structured productivity system,queued
25,morphous-eucalyptus,Eucalyptus,plant,dry woodland,eucalyptus leaves,silver green blue grey bark tan,clean healthcare system,queued
26,morphous-pinecone,Pinecone,plant,conifer forest,pinecone scales,umber brown pine green resin amber,layered planning system,queued
27,morphous-cactus,Cactus,plant,sonoran desert,flowering cactus,sage green sand ochre bloom pink,sturdy field-tool system,queued
28,morphous-seaweed,Seaweed,plant,tidal pool,kelp frond,kelp olive sea teal foam white,fluid data system,queued
29,morphous-mushroom,Mushroom,fungi,woodland floor,fly agaric mushroom,red cap cream spot forest green,playful catalog system,queued
30,morphous-chanterelle,Chanterelle,fungi,oak forest,chanterelle cluster,apricot orange moss green dark soil,warm culinary system,queued
31,morphous-coral-fungus,Coral Fungus,fungi,wet forest,coral fungus branches,coral peach bark brown mist grey,branching workflow system,queued
32,morphous-oyster-mushroom,Oyster Mushroom,fungi,fallen log,oyster mushroom fan,shell grey ivory bark brown shadow,quiet documentation system,queued
33,morphous-hummingbird,Hummingbird,bird,cloud forest,hummingbird in hover,emerald teal ruby throat grey,fast precise creator system,queued
34,morphous-kingfisher,Kingfisher,bird,riverbank,kingfisher plumage,electric blue rust orange water teal,sharp media system,queued
35,morphous-peacock,Peacock,bird,monsoon garden,peacock feather eye,teal cobalt emerald bronze gold,ornate portfolio system,queued
36,morphous-flamingo,Flamingo,bird,salt lagoon,flamingo feather,pink coral salt white lagoon blue,graceful hospitality system,queued
37,morphous-owl,Owl,bird,old forest,owl face and feather,warm taupe amber eye charcoal,focused research system,queued
38,morphous-crane,Crane,bird,marsh,red crowned crane,white feather ink black red crown,ceremonial enterprise system,queued
39,morphous-puffin,Puffin,bird,north atlantic cliff,puffin beak,black white coral orange sea blue,clear coastal system,queued
40,morphous-toucan,Toucan,bird,rainforest,toucan beak,banana yellow black teal orange,lively content system,queued
41,morphous-frog,Frog,amphibian,rain pond,tree frog,leaf green cream amber eye,lightweight collaboration system,queued
42,morphous-salamander,Salamander,amphibian,wet woodland,spotted salamander,black gold wet leaf brown,contrast-rich science system,queued
43,morphous-sea-turtle,Sea Turtle,reptile,coral reef,sea turtle shell,olive shell aqua reef sand,slow durable learning system,queued
44,morphous-chameleon,Chameleon,reptile,tropical branch,chameleon profile,lime teal ochre bark brown,adaptive settings system,queued
45,morphous-gecko,Gecko,reptile,desert rock,gecko scales,sand beige orange shadow brown,light tactile tool system,queued
46,morphous-coral,Coral,marine,reef,branching coral,coral pink reef orange sea blue,modular commerce system,queued
47,morphous-jellyfish,Jellyfish,marine,open sea,jellyfish bell,translucent lavender cyan deep blue,ethereal analytics system,queued
48,morphous-starfish,Starfish,marine,tide pool,orange starfish,sea star orange sand cream teal,playful operations system,queued
49,morphous-seahorse,Seahorse,marine,seagrass meadow,seahorse silhouette,golden ochre seagrass green aqua,delicate profile system,queued
50,morphous-octopus,Octopus,marine,rocky reef,octopus tentacle,plum red ink violet coral grey,flexible automation system,queued
51,morphous-glacier,Glacier,landscape,polar valley,blue glacier ice,ice blue white shadow indigo,crisp enterprise system,queued
52,morphous-volcano,Volcano,landscape,volcanic island,active volcano,lava orange basalt black ash grey,high-energy incident system,queued
53,morphous-canyon,Canyon,landscape,desert canyon,sandstone canyon,terracotta ochre shadow purple sky blue,layered storytelling system,queued
54,morphous-rainforest,Rainforest,landscape,tropical forest,rainforest canopy,deep emerald mist green bark brown,dense monitoring system,queued
55,morphous-alpine-lake,Alpine Lake,landscape,mountain lake,clear alpine lake,teal water granite grey snow white,calm planning system,queued
56,morphous-mangrove,Mangrove,landscape,coastal wetland,mangrove roots,root brown brackish teal leaf green,resilient logistics system,queued
57,morphous-dunes,Sand Dunes,landscape,desert dunes,wind shaped dune,sand gold shadow umber sky pale,spacious editorial system,queued
58,morphous-aurora,Aurora,weather,polar night,aurora ribbon,green violet midnight blue snow white,immersive data system,queued
59,morphous-thundercloud,Thundercloud,weather,storm front,thundercloud lightning,slate grey electric yellow rain blue,alerting system,queued
60,morphous-fog,Fog,weather,misty valley,fog layers,pearl grey pine green soft blue,quiet productivity system,queued
61,morphous-rainbow,Rainbow,weather,after rain,rainbow arc,prismatic color rain grey grass green,accessible education system,queued
62,morphous-snowflake,Snowflake,weather,winter air,snowflake crystal,ice white blue silver,precise component system,queued
63,morphous-dew,Dew,weather,morning meadow,dewdrop on blade,clear dew leaf green dawn gold,fresh onboarding system,queued
